text,emotion
I am fine right now,Neutral
I feel neutral inside,Neutral
I am fine right now,Neutral
Nothing special today right now,Neutral
I am fine at the moment,Neutral
I feel okay at the moment,Neutral
I feel okay today,Neutral
I feel neutral today,Neutral
I am fine today,Neutral
I am fine these days,Neutral
I am fine at the moment,Neutral
It is a normal day these days,Neutral
Nothing special today at the moment,Neutral
Nothing special today today,Neutral
Nothing much happening right now,Neutral
Nothing much happening these days,Neutral
Nothing much happening right now,Neutral
I am fine right now,Neutral
I am fine these days,Neutral
Nothing special today about this,Neutral
I am fine right now,Neutral
I feel neutral about this,Neutral
Nothing special today these days,Neutral
I feel neutral these days,Neutral
I feel okay right now,Neutral
Nothing special today today,Neutral
Nothing special today right now,Neutral
Nothing special today today,Neutral
I am fine these days,Neutral
I feel neutral at the moment,Neutral
I feel okay right now,Neutral
Nothing much happening right now,Neutral
I feel neutral at the moment,Neutral
Nothing much happening today,Neutral
Nothing special today at the moment,Neutral
I am fine at the moment,Neutral
I am fine inside,Neutral
Nothing much happening these days,Neutral
I feel neutral today,Neutral
Nothing much happening inside,Neutral
I am fine about this,Neutral
I feel okay at the moment,Neutral
I feel neutral right now,Neutral
I am fine right now,Neutral
Nothing much happening today,Neutral
Nothing much happening right now,Neutral
Nothing special today about this,Neutral
It is a normal day right now,Neutral
Nothing much happening right now,Neutral
Nothing much happening at the moment,Neutral
I am fine at the moment,Neutral
Nothing special today today,Neutral
I feel okay these days,Neutral
I am fine right now,Neutral
I feel okay right now,Neutral
I feel okay these days,Neutral
Nothing special today inside,Neutral
Nothing much happening right now,Neutral
Nothing much happening right now,Neutral
I am fine about this,Neutral
I feel okay about this,Neutral
It is a normal day about this,Neutral
It is a normal day right now,Neutral
I feel okay inside,Neutral
I am fine at the moment,Neutral
I am fine at the moment,Neutral
I feel neutral these days,Neutral
I am fine today,Neutral
It is a normal day right now,Neutral
Nothing much happening right now,Neutral
Nothing special today right now,Neutral
It is a normal day inside,Neutral
Nothing much happening these days,Neutral
It is a normal day inside,Neutral
Nothing special today about this,Neutral
It is a normal day today,Neutral
I am fine these days,Neutral
Nothing much happening at the moment,Neutral
I am fine right now,Neutral
Nothing much happening today,Neutral
It is a normal day inside,Neutral
I am fine about this,Neutral
I am fine about this,Neutral
I am fine at the moment,Neutral
I feel neutral these days,Neutral
I am fine inside,Neutral
I am fine at the moment,Neutral
It is a normal day at the moment,Neutral
I feel okay inside,Neutral
I feel neutral about this,Neutral
I am fine at the moment,Neutral
I feel okay today,Neutral
I am fine right now,Neutral
It is a normal day today,Neutral
Nothing special today these days,Neutral
I am fine about this,Neutral
I am fine inside,Neutral
It is a normal day at the moment,Neutral
I feel okay today,Neutral
I am fine these days,Neutral
Nothing special today right now,Neutral
I am fine at the moment,Neutral
I feel neutral these days,Neutral
I feel neutral these days,Neutral
Nothing much happening about this,Neutral
Nothing special today about this,Neutral
It is a normal day today,Neutral
I am fine about this,Neutral
I feel neutral today,Neutral
It is a normal day at the moment,Neutral
Nothing special today today,Neutral
I feel neutral right now,Neutral
Nothing much happening about this,Neutral
It is a normal day at the moment,Neutral
Nothing much happening at the moment,Neutral
I am fine about this,Neutral
Nothing special today these days,Neutral
I am fine these days,Neutral
I feel okay inside,Neutral
I feel neutral today,Neutral
I am fine right now,Neutral
Nothing special today about this,Neutral
Nothing special today at the moment,Neutral
I am fine today,Neutral
I feel neutral right now,Neutral
Nothing special today at the moment,Neutral
I am fine at the moment,Neutral
I feel okay right now,Neutral
It is a normal day right now,Neutral
I feel okay about this,Neutral
I feel okay inside,Neutral
Nothing much happening about this,Neutral
It is a normal day today,Neutral
I feel neutral today,Neutral
Nothing much happening right now,Neutral
Nothing special today right now,Neutral
I feel neutral these days,Neutral
I am fine today,Neutral
It is a normal day these days,Neutral
Nothing much happening right now,Neutral
I feel neutral at the moment,Neutral
I feel neutral at the moment,Neutral


